gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
658390099	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42b52da7-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena w-scripta		SPECIES	Andrena w-scripta Viereck, 1904	Andrena (Thysandrena) w-scripta		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1357501	1357501	PRESERVED_SPECIMEN	KU	SEMC	980959		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.708Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658390098	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42b52a9b-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena w-scripta		SPECIES	Andrena w-scripta Viereck, 1904	Andrena (Thysandrena) w-scripta		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1357501	1357501	PRESERVED_SPECIMEN	KU	SEMC	980958		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:36.004Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388134	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42911e8d-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980096		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.556Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388133	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42911d32-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980095		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.444Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388132	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42911bd7-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980094		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.474Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388131	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42911a7d-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980093		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.644Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388130	aae308f4-9f9c-4cdd-b4ef-c026f48be551	42911922-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980092		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.444Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388078	aae308f4-9f9c-4cdd-b4ef-c026f48be551	4290b5ab-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980091		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:37.082Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658388077	aae308f4-9f9c-4cdd-b4ef-c026f48be551	4290b181-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Andrena	Andrena pallidifovea		SPECIES	Andrena pallidifovea (Viereck, 1904)	Andrena (Simandrena) pallidifovea		CA	Yale	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.5667	-121.4333							1890-01-01T00:00:00			1890	1356997	1356997	PRESERVED_SPECIMEN	KU	SEMC	980090		LaBerge, Walley		CC_BY_4_0		unknown			2023-11-06T16:13:35.518Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
658385745	aae308f4-9f9c-4cdd-b4ef-c026f48be551	426e9ae8-1ed6-11e3-bfac-90b11c41863e	Animalia	Arthropoda	Insecta	Hymenoptera	Andrenidae	Perdita	Perdita nevadensis	nevadensis	SUBSPECIES	Perdita nevadensis nevadensis	Perdita (Pygoperdita) nevadensis nevadensis		CA	Keremeos;  8 km N	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.27	-119.83			580.0	0.0			1988-07-01T00:00:00	1	7	1988	9185127	1356323	PRESERVED_SPECIMEN	KU	SEMC	230942		unknown		CC_BY_4_0		Michener, Charles			2023-11-06T16:13:34.148Z		GEODETIC_DATUM_ASSUMED_WGS84
