gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2294361403	ad4c9413-95bc-4b3c-a1e9-b7cf16f391a2	d589300e-166c-4d5a-88d6-3c2991e913ae	Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis	Macropis nuda		SPECIES	Macropis nuda (Provancher, 1882)	Macropis nuda (Provancher, 1882)	(Provancher, 1882)	CA	Agassiz	British Columbia	PRESENT	1	39fd7088-af63-4ad5-8d30-479a720a368b	49.277	-121.763							1914-07-08T00:00:00	8	7	1914	1345897	1345897	PRESERVED_SPECIMEN	CNC		CNC_Macropis_Canada_4		R.R. Snelling		CC_BY_4_0		Collector(s): F.W.L. Sladen			2023-09-07T09:51:06.597Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
2294361380	ad4c9413-95bc-4b3c-a1e9-b7cf16f391a2	97c02e4f-263c-47a6-9b7f-9e2694a717a5	Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis	Macropis nuda		SPECIES	Macropis nuda (Provancher, 1882)	Macropis nuda (Provancher, 1882)	(Provancher, 1882)	CA	Agassiz	British Columbia	PRESENT	1	39fd7088-af63-4ad5-8d30-479a720a368b	49.277	-121.763							1914-07-08T00:00:00	8	7	1914	1345897	1345897	PRESERVED_SPECIMEN	CNC		CNC_Macropis_Canada_2		R.R. Snelling		CC_BY_4_0		Collector(s): F.W.L. Sladen			2023-09-07T09:51:06.523Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
2294361316	ad4c9413-95bc-4b3c-a1e9-b7cf16f391a2	680bf3a8-4938-4bf1-815b-1e50ca0f8f5f	Animalia	Arthropoda	Insecta	Hymenoptera	Melittidae	Macropis	Macropis nuda		SPECIES	Macropis nuda (Provancher, 1882)	Macropis nuda (Provancher, 1882)	(Provancher, 1882)	CA	Agassiz	British Columbia	PRESENT	1	39fd7088-af63-4ad5-8d30-479a720a368b	49.277	-121.763							1914-07-08T00:00:00	8	7	1914	1345897	1345897	PRESERVED_SPECIMEN	CNC		CNC_Macropis_Canada_3		R.R. Snelling		CC_BY_4_0		Collector(s): F.W.L. Sladen			2023-09-07T09:51:06.596Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
